[2025-07-21 09:42:04] Invalid user - user not found or inactive | Input: {"case_code":"CTK2507001","request_type":"Nâng cấp hệ thống","progress":"Kiểm thử","case_description":"fádfádf","notes":"fádfadf","assigned_to":"11","work_type":"Onsite","start_date":"2025-07-01","end_date":"2025-07-09","status":"Tiếp nhận","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":"5"}
[2025-07-21 09:53:31] Invalid user - user not found or inactive | Input: {"case_code":"CTK2507001","request_type":"Nâng cấp hệ thống","progress":"Kiểm thử","case_description":"dsađá","notes":"đâsd","assigned_to":11,"work_type":"Offsite","start_date":"2025-07-16","end_date":"2025-07-16","status":"Tiếp nhận","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":3}
[2025-07-21 10:10:41] Invalid created_by | Input: {"case_code":"CTK2507001","request_type":"Bảo trì hệ thống","progress":"Triển khai","case_description":"kkkk","notes":"","assigned_to":15,"work_type":"Offsite","start_date":"2025-07-04","end_date":"2025-07-24","status":"Tiếp nhận","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":1}
[2025-07-21 10:10:54] Invalid created_by | Input: {"case_code":"CTK2507001","request_type":"Bảo trì hệ thống","progress":"Triển khai","case_description":"kkkk","notes":"","assigned_to":15,"work_type":"Offsite","start_date":"2025-07-04","end_date":"2025-07-24","status":"Tiếp nhận","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":1}
[2025-07-21 10:12:40] Invalid created_by | Input: {"case_code":"CTK2507001","request_type":"Bảo trì hệ thống","progress":"Triển khai","case_description":"sđá","notes":"","assigned_to":15,"work_type":"Onsite","start_date":"2025-07-01","end_date":"2025-07-23","status":"Hoàn thành","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":1}
[2025-07-21 10:13:57] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'deployment_request_id' in 'field list' | Input: {"case_code":"CTK2507001","request_type":"Bảo trì hệ thống","progress":"Triển khai","case_description":"dsađà","notes":"","assigned_to":15,"work_type":"Offsite","start_date":"2025-07-08","end_date":"2025-07-16","status":"Tiếp nhận","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":1}
[2025-07-21 10:14:01] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'deployment_request_id' in 'field list' | Input: {"case_code":"CTK2507001","request_type":"Bảo trì hệ thống","progress":"Triển khai","case_description":"dsađà","notes":"","assigned_to":15,"work_type":"Offsite","start_date":"2025-07-08","end_date":"2025-07-16","status":"Tiếp nhận","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":1}
[2025-07-21 10:19:09] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'request_type' in 'field list' | Input: {"case_code":"CTK2507001","request_type":"Bảo trì hệ thống","progress":"Kiểm thử","case_description":"fsadfádf","notes":"","assigned_to":15,"work_type":"Offsite","start_date":"2025-06-30","end_date":"2025-07-17","status":"Tiếp nhận","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":1}
[2025-07-21 10:19:25] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'request_type' in 'field list' | Input: {"case_code":"CTK2507001","request_type":"Bảo trì hệ thống","progress":"Kiểm thử","case_description":"fsadfádf","notes":"","assigned_to":15,"work_type":"Offsite","start_date":"2025-06-30","end_date":"2025-07-17","status":"Tiếp nhận","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":1}
[2025-07-21 10:19:28] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'request_type' in 'field list' | Input: {"case_code":"CTK2507001","request_type":"Bảo trì hệ thống","progress":"Kiểm thử","case_description":"fsadfádf","notes":"","assigned_to":15,"work_type":"Offsite","start_date":"2025-06-30","end_date":"2025-07-17","status":"Tiếp nhận","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":1}
[2025-07-21 10:23:49] SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`thichho1_it_crm_db`.`deployment_cases`, CONSTRAINT `fk_deployment_cases_created` FOREIGN KEY (`created_by`) REFERENCES `staffs` (`id`) ON DELETE RESTRICT) | Input: {"case_code":"CTK2507001","request_type":"Bảo trì hệ thống","progress":"Triển khai","case_description":"đAsd","notes":"đAsd","assigned_to":11,"work_type":"Offsite","start_date":"2025-07-01","end_date":"2025-07-17","status":"Hoàn thành","total_tasks":"0","completed_tasks":"0","progress_percentage":"0","deployment_request_id":1}
